sentiment,text
0,sad apl friend
0,miss new moon trailer
1,omg alreadi
0,omgaga im sooo im gunna cri dentist sinc supos get crown put min
0,think mi bf cheat
0,worri much
1,juuuuuuuuuuuuuuuuussssst chillin
0,sunni work tomorrow tv tonight
1,hand uniform today miss alreadi
1,hmmmm wonder number
0,must think posit
1,thank hater face day
0,weekend suck far
0,jb isnt show australia
0,ok that win
0,lt way feel right
0,awhh man complet useless rt funni twitter http myloc hx
1,feel strang fine gonna go listen semison celebr
0,huge roll thunder scari
0,cut beard grow well year gonna start shaunamanu happi meantim
0,sad iran
0,wompppp wompp
1,one see caus one els follow pretti awesom
0,lt sad level write massiv blog tweet myspac comp shut lost lay fetal posit
0,head hospitol pull golf tourni rd place think rip someth yeah
0,bore what wrong pleas tell
0,bother wish could spend rest life sat go gig serious
0,feeel like shit right realli want sleep nooo hour danc art assign finish
1,goodby exam hello alcohol tonight
0,realiz deep geez give girl warn atleast
0,hate athlet appear tear acl live televis
0,miss guy think wear skinni jean cute sweater heel realli sure today
0,meet meat http bit ly ssci
0,horsi move saturday morn
0,sat need work day week
0,realli dont like room bore sick wardrob cant waiit till walk one yay
0,sox floyd great reliev need scold
0,time like million
1,upload pictur friendster
0,type spaz download viru brother msn fuck forev
0,amp amp fightiin wiit babe
1,wrote someth last week got call someon new york offic http tumblr com xcn w
0,enough said
1,need even say well go anyway chri cornel chicago tonight
1,health class joke
1,ginaaa lt go show tonight
0,spiral galaxi ymptweet realli make sad look muslim realiti
0,time low shall motiv rest week
0,entertain someon complain properli ruptureraptur experiment say experi melodi
0,anoth year laker neither magic fun
0,baddest day eveer
1,bathroom clean enjoy task
1,boom boom pow
0,proud
0,congrat helio though
0,david must hospit five day end juli palatin tonsil probabl never see kati concert
0,friend leav caus stupid love http bit ly zoxzc
1,go give ur mom hug right http bit ly azfwv
1,go see harri sunday happi
0,hand quilt
0,hate u leysh ar
1,alway get want
1,bend backward
1,get work sooooon miss codi booo seen foreverr
1,hate allergi get hair cut tomorrow take public poll
0,love guy much hurt http tumblr com xkh z us
0,miss earl
0,miss new jersey
0,miss first hour sytycd last night find onlin
0,need u fix
0,never thought becom second choic
0,think may friendli lol well
0,think manuel basil plant day live
0,wanna home church wonder wht
0,wanna make pizza
0,want gb harddriv inch tv new guitar anyonefeel gener p x
0,want hug
0,want miley tour australia
0,want sleep morn mean kid popsicl stick head wish could fli away like squirrel
0,slow get tix
0,send sunshin northern ireland go swim today kezbat
0,wish could go beach would great see shontel layn amp danmerriweath
0,would much happier wall bedroom paint white
